video_id,title
GGL_USR_ID:1453403598,Brasil (Ao Vivo)
1616079614,Vem Andar Comigo (Ao Vivo)
GGL_USR_ID:1669184346,Oh Quão Lindo Esse Nome É
1623996473,"Abertura (Ao Vivo no Rio de Janeiro, 2002)"
GGL_USR_ID:2395450959,Chama (Ao Vivo)
GGL_USR_ID:1644719670,Multidão de Sentimentos (Ao Vivo)
Zi9IuubHHvo,Mais De Deus    
4369295533,Diante da Cruz
xE28Tki_Wq8,Na Simplicidade
2254217919,Além das Quatro Paredes (Ao Vivo)
3007769324,So Close (Live)
GGL_USR_ID:1453401786,Santo Espírito
GGL_USR_ID:1472720400,Salmo 139
4020672547,Meus Votos / Dia e Noite (Ao Vivo)
GGL_USR_ID:1535313528,Tua Glória a Brilhar
GGL_USR_ID:1472750294,Louvai ao Senhor (Ao Vivo)
5512131072,Quando Estás Neste Lugar / Tudo é Para Tua Glória (Espontâneo) (Ao Vivo)
GGL_USR_ID:1472740665,Eis-me Aqui
GGL_USR_ID:1937681851,Estou Seguro (Ao Vivo)
GGL_USR_ID:2967096579,Espontâneos Parábolas - Os Talentos
lSeo5g3u_no,Digno de Tudo / Te Exaltamos
pkxPZqIBZQY,Escondido Em Mim
,Cantarei Ao Senhor
,RAQUEL EMERICK   REFÚGIO   CLIPE OFICIAL    MINISTÉRIO ALÉM DO VÉU
GGL_USR_ID:1524248312,Estou Aqui
GGL_USR_ID:1453403568,Santo (Ao Vivo)
3731058534,Luz Que Brilha
GGL_USR_ID:1472696172,Para Adorar Ao Senhor
GGL_USR_ID:2200405949,Respirar
4360599021,Perto Live at TheArk (feat. Thamires Garcia)
1453407173,Faça Sua Parte
GGL_USR_ID:2465276508,Só por Jesus (Ao Vivo)
4845028541,O Nome do Senhor (Ao Vivo)
GGL_USR_ID:5510621612,Emmanuel (Ao Vivo)
,
GGL_USR_ID:1453405728,Se Eu Me Humilhar (Ao Vivo)
GGL_USR_ID:1472704787,Maravilhosa Graça (Ao Vivo)
3749606519,Adorarei (Ao Vivo)
GGL_USR_ID:1453402101,O Amor do Nosso Deus
1453407163,Face a Face
2941555051,O Que é Que Você Vê? (Foi o Sangue) (Ao Vivo)
1453402287,A-M-I-G-O
1472719872,Acredito
1874307269,Quando Ele Vem
,NÃO MAIS ESCRAVOS
GGL_USR_ID:5510623250,La Sangre Del Cordero (Ao Vivo)
xg64hJgH0dk,PAZ
GGL_USR_ID:1453403482,Rei da glória (Ao Vivo)
GGL_USR_ID:2941517783,Dono
GGL_USR_ID:2941555186,Deus Gosta de Você (Me Ama) (Ao Vivo)
zcWjnBQt3TI,Em Tua Presença - Versão Estendida
,Diálogo 1
,Eu Também (100 Bilhões X)
GGL_USR_ID:1453402895,Isaías 53 (Ao Vivo)
1453405948,Eu tenho fome
1472738748,S.E.T.E. (Acústico)
1472701104,Geração de Deus
3071671846,Santo (Holy) (Playback)
qganAaIVIvk,Lindo Rei Ao vivo   
GGL_USR_ID:1453402406,Medley de Adoração 1 (Live)
1524247506,Vivo Está
w-8MGvnXzfs,Eu Provei e Vi (Ao Vivo) 
cegHLh3Xbl8, VIDA AOS SEPULCROS 
1453403578,Coração Igual ao Teu (Ao Vivo)
GGL_USR_ID:3317848670,Protetor (Ao Vivo)
GGL_USR_ID:3008656065,No More Games (Live)
GGL_USR_ID:1453406890,Maravilhosa Graça
GGL_USR_ID:2448147473,Lugar de Oração
GGL_USR_ID:1477052292,Diálogo 9
GGL_USR_ID:2465676356,Crer Para Ver (Ao Vivo)
1623996855,"Profecia (Ao Vivo no Rio de Janeiro, 2002)"
GGL_USR_ID:2643553996,Ao Teu Lado
GGL_USR_ID:1453403189,Brasil (Ao Vivo)
GGL_USR_ID:1458945815,Me Resgatou (Ao Vivo)
3089455273,Meu Lar
3045106290,Braços do Pai / Em Teus braços (Live 2020)
1472697610,Diálogo 3
5330397397,Lugar Secreto
rTeXkrO5xJ8,Quem é Este
GGL_USR_ID:1453403116,Espírito de Vida (Ao Vivo)
GGL_USR_ID:4684530855,Olho para Ti (God I Look To You) (Ao Vivo)
2032806840,Escabelo (Ao Vivo)
GGL_USR_ID:3001526410,Mulheres Valorosas
GGL_USR_ID:1453403456,Encontro Das Águas (Ao Vivo)
1524256797,Lágrima dos Santos (Ao Vivo)
GGL_USR_ID:1453401435,Sou Livre
GGL_USR_ID:4516731201,Não Nos Abalaremos (Ao Vivo)
3032565687,A Vitória Está em Ti
2177881840,Obediência (Ao Vivo)
